headline,url,date
Caught between Jack Straw and a hard place,https://www.theguardian.com/uk/2000/feb/13/immigration.immigrationandpublicservices1,2000-02-13
How clever of Alastair to kills two birds with one stone,https://www.theguardian.com/politics/2000/feb/13/tonyblair.uk,2000-02-13
The long trek from Kabul to the Cotswolds,https://www.theguardian.com/uk/2000/feb/13/stansted.theairlineindustry,2000-02-13
Home at last,https://www.theguardian.com/uk/2000/feb/14/stansted.theairlineindustry3,2000-02-14
Iran to lead new era of secular reform,https://www.theguardian.com/world/2000/feb/15/iran,2000-02-15
Haider's success should not infect our political system,https://www.theguardian.com/world/2000/feb/15/austria.immigration,2000-02-15
Freed hostages tell of 'infidel' Britain,https://www.theguardian.com/uk/2000/feb/15/stansted.theairlineindustry,2000-02-15
I feel the madness more,https://www.theguardian.com/theguardian/2000/feb/16/features11.g2,2000-02-16
The ugly Britons,https://www.theguardian.com/uk/2000/feb/16/stansted.theairlineindustry1,2000-02-16
'Race is the key thing on which I want to be judged',https://www.theguardian.com/uk/2000/feb/21/lawrence.ukcrime8,2000-02-21
"Egypt's sexist divorce laws blamed not on Islam, but on men",https://www.theguardian.com/world/2000/feb/23/4,2000-02-23
Return ticket to Kabul,https://www.theguardian.com/uk/2000/mar/02/stansted.theairlineindustry,2000-03-02
Straw lets eight Afghans stay in UK,https://www.theguardian.com/uk/2000/mar/02/stansted.theairlineindustry1,2000-03-02
Laying down the law on oppression,https://www.theguardian.com/theguardian/2000/mar/03/guardianletters1,2000-03-03
Oppression in the name of the state,https://www.theguardian.com/uk/2000/mar/14/uksecurity.richardnortontaylor,2000-03-14
Hague's head girl,https://www.theguardian.com/books/2000/mar/18/fiction1,2000-03-18
Fanatic alphabet,https://www.theguardian.com/books/2000/mar/19/politics,2000-03-19
In brief,https://www.theguardian.com/world/2000/mar/27/2,2000-03-27
"Dover, no port in a storm for refugees",https://www.theguardian.com/uk/2000/mar/28/immigration.immigrationandpublicservices,2000-03-28
UN aid work halted after Taliban raids,https://www.theguardian.com/world/2000/mar/30/unitednations,2000-03-29
