word,count,FAC,date,article_index
Square_2010-05-09_13969,4,Square,2010-05-09,13969
Times_2010-05-09_13969,4,Times,2010-05-09,13969
David_2007-08-06_9762,4,David,2007-08-06,9762
Avenue_2015-12-18_17649,4,Avenue,2015-12-18,17649
Road_2008-11-02_11887,4,Road,2008-11-02,11887
Camp_2007-08-06_9762,4,Camp,2007-08-06,9762
District_2020-04-02_19826,4,District,2020-04-02,19826
Hall_2008-11-02_11887,4,Hall,2008-11-02,11887
Square_2010-05-08_13965,4,Square,2010-05-08,13965
Times_2010-05-08_13965,4,Times,2010-05-08,13965
Guantánamo_2004-02-12_5566,4,Guantánamo,2004-02-12,5566
Avenue_2015-12-10_17628,4,Avenue,2015-12-10,17628
District_2020-09-03_20000,4,District,2020-09-03,20000
Guantánamo_2008-10-08_11696,4,Guantánamo,2008-10-08,11696
Guantánamo_2002-08-01_4269,4,Guantánamo,2002-08-01,4269
F_2012-07-06_15639,4,F,2012-07-06,15639
A-18s_2012-07-06_15639,4,A-18s,2012-07-06,15639
Guantánamo_2021-08-17_20590,4,Guantánamo,2021-08-17,20590
Bay_2008-10-08_11697,4,Bay,2008-10-08,11697
Avenue_2015-12-04_17613,4,Avenue,2015-12-04,17613
Blessing_2008-02-25_10594,4,Blessing,2008-02-25,10594
Camp_2008-02-25_10594,4,Camp,2008-02-25,10594
Avenue_2015-10-29_17560,4,Avenue,2015-10-29,17560
Guantánamo_2019-06-10_19355,4,Guantánamo,2019-06-10,19355
Blessing_2008-02-24_10591,4,Blessing,2008-02-24,10591
Camp_2008-02-24_10591,4,Camp,2008-02-24,10591
Road_2021-08-20_20663,4,Road,2021-08-20,20663
Belt_2021-08-20_20663,4,Belt,2021-08-20,20663
Street_2004-04-30_5791,4,Street,2004-04-30,5791
Road_2010-03-08_13833,4,Road,2010-03-08,13833
Jalalabad_2010-03-08_13833,4,Jalalabad,2010-03-08,13833
Times_2010-05-13_13981,4,Times,2010-05-13,13981
Phoenix_2016-01-11_17685,4,Phoenix,2016-01-11,17685
Oberoi_2008-11-28_12043,4,Oberoi,2008-11-28,12043
Guantánamo_2008-04-02_10705,4,Guantánamo,2008-04-02,10705
Oberoi_2008-11-27_12035,4,Oberoi,2008-11-27,12035
Camp_2012-02-01_15394,4,Camp,2012-02-01,15394
Leatherneck_2012-02-01_15394,4,Leatherneck,2012-02-01,15394
District_2019-09-05_19492,4,District,2019-09-05,19492
Guantánamo_2008-01-07_10392,4,Guantánamo,2008-01-07,10392
Guantánamo_2008-04-02_10704,4,Guantánamo,2008-04-02,10704
Pashton_2019-09-05_19492,4,Pashton,2019-09-05,19492
Guantánamo_2003-03-31_4911,4,Guantánamo,2003-03-31,4911
Report_2015-04-20_17256,4,Report,2015-04-20,17256
Air_2012-02-21_15425,4,Air,2012-02-21,15425
Base_2012-02-21_15425,4,Base,2012-02-21,15425
Guantánamo_2008-11-21_12009,4,Guantánamo,2008-11-21,12009
Chicken_2019-04-25_19281,4,Chicken,2019-04-25,19281
Street_2019-04-25_19281,4,Street,2019-04-25,19281
Square_2010-05-18_13997,4,Square,2010-05-18,13997
Kennedy_2001-12-03_2548,4,Kennedy,2001-12-03,2548
Times_2010-05-18_13997,4,Times,2010-05-18,13997
Center_2001-12-03_2548,4,Center,2001-12-03,2548
Guantánamo_2005-09-27_7009,4,Guantánamo,2005-09-27,7009
Guantánamo_2006-12-17_8810,4,Guantánamo,2006-12-17,8810
Guantánamo_2006-12-17_8809,4,Guantánamo,2006-12-17,8809
Finsbury_2002-09-13_4412,4,Finsbury,2002-09-13,4412
Park_2002-09-13_4412,4,Park,2002-09-13,4412
Avenue_2002-09-20_4441,4,Avenue,2002-09-20,4441
Fifth_2001-12-04_2571,4,Fifth,2001-12-04,2571
Avenue_2001-12-04_2571,4,Avenue,2001-12-04,2571
Square_2010-05-13_13981,4,Square,2010-05-13,13981
Drum_2010-06-27_14129,4,Drum,2010-06-27,14129
Kabul_2010-06-21_14098,4,Kabul,2010-06-21,14098
Qaida_2004-04-14_5744,4,Qaida,2004-04-14,5744
Fort_2013-08-04_16287,4,Fort,2013-08-04,16287
David_2004-04-08_5728,4,David,2004-04-08,5728
Guantánamo_2009-01-27_12282,4,Guantánamo,2009-01-27,12282
Drum_2004-05-31_5848,4,Drum,2004-05-31,5848
Guantánamo_2019-11-04_19604,4,Guantánamo,2019-11-04,19604
Meybodi_2002-02-24_3575,4,Meybodi,2002-02-24,3575
Guantánamo_2009-01-27_12278,4,Guantánamo,2009-01-27,12278
Huachuca_2017-06-12_18293,4,Huachuca,2017-06-12,18293
Camp_2004-04-08_5728,4,Camp,2004-04-08,5728
Guantánamo_2011-04-25_14856,4,Guantánamo,2011-04-25,14856
Guantanamo_2007-11-15_10230,4,Guantanamo,2007-11-15,10230
Al_2004-04-14_5744,4,Al,2004-04-14,5744
Guantánamo_2003-10-07_5271,4,Guantánamo,2003-10-07,5271
Guantanamo_2007-11-15_10231,4,Guantanamo,2007-11-15,10231
McKinsey_2019-12-06_19643,4,McKinsey,2019-12-06,19643
Street_2010-12-09_14584,4,Street,2010-12-09,14584
Hood_2013-06-12_16192,4,Hood,2013-06-12,16192
Fort_2013-06-12_16192,4,Fort,2013-06-12,16192
Camp_2004-04-08_5730,4,Camp,2004-04-08,5730
Guantánamo_2004-08-27_6086,4,Guantánamo,2004-08-27,6086
Palace_2017-04-05_18213,4,Palace,2017-04-05,18213
Gitmo_2013-08-10_16292,4,Gitmo,2013-08-10,16292
Echo_2006-09-17_8323,4,Echo,2006-09-17,8323
Camp_2014-11-29_17032,4,Camp,2014-11-29,17032
Bastion_2014-11-29_17032,4,Bastion,2014-11-29,17032
Street_2001-11-18_2186,4,Street,2001-11-18,2186
David_2004-04-08_5730,4,David,2004-04-08,5730
Guantánamo_2003-11-27_5384,4,Guantánamo,2003-11-27,5384
Creek_2021-10-01_21077,4,Creek,2021-10-01,21077
Fairy_2021-10-01_21077,4,Fairy,2021-10-01,21077
Guantánamo_2003-11-28_5387,4,Guantánamo,2003-11-28,5387
Guantánamo_2021-05-10_20293,4,Guantánamo,2021-05-10,20293
District_2019-12-05_19638,4,District,2019-12-05,19638
Echo_2006-09-17_8324,4,Echo,2006-09-17,8324
Guantánamo_2006-06-12_7755,4,Guantánamo,2006-06-12,7755
Echo_2006-09-13_8307,4,Echo,2006-09-13,8307
Fort_2004-05-31_5848,4,Fort,2004-05-31,5848
Guantánamo_2006-06-12_7754,4,Guantánamo,2006-06-12,7754
Guantánamo_2006-06-12_7753,4,Guantánamo,2006-06-12,7753
Chicken_2018-04-22_18724,4,Chicken,2018-04-22,18724
Museum_2021-09-09_20957,4,Museum,2021-09-09,20957
Guantánamo_2006-03-06_7395,4,Guantánamo,2006-03-06,7395
District_2020-01-02_19672,4,District,2020-01-02,19672
Albion_2015-03-20_17213,4,Albion,2015-03-20,17213
Darulaman_2017-04-05_18213,4,Darulaman,2017-04-05,18213
River_2015-03-20_17213,4,River,2015-03-20,17213
Retro_2015-04-20_17256,4,Retro,2015-04-20,17256
Guantánamo_2002-01-26_3305,4,Guantánamo,2002-01-26,3305
Guantánamo_2006-03-06_7392,4,Guantánamo,2006-03-06,7392
Guantánamo_2006-03-06_7391,4,Guantánamo,2006-03-06,7391
Guantánamo_2004-02-25_5605,4,Guantánamo,2004-02-25,5605
Guantánamo_2004-01-19_5509,4,Guantánamo,2004-01-19,5509
Road_2021-01-16_20131,4,Road,2021-01-16,20131
Square_2010-05-04_13953,3,Square,2010-05-04,13953
Route_2018-08-08_18853,3,Route,2018-08-08,18853
Yankee_2001-11-07_1926,3,Yankee,2001-11-07,1926
Rhino_2001-12-17_2826,3,Rhino,2001-12-17,2826
Freedom_2005-07-06_6782,3,Freedom,2005-07-06,6782
Avenue_2015-11-12_17576,3,Avenue,2015-11-12,17576
Camp_2001-12-17_2826,3,Camp,2001-12-17,2826
David_2001-10-07_1195,3,David,2001-10-07,1195
Fort_2012-05-29_15586,3,Fort,2012-05-29,15586
Hood_2012-05-29_15586,3,Hood,2012-05-29,15586
Drum_2010-12-30_14637,3,Drum,2010-12-30,14637
Tower_2005-07-06_6782,3,Tower,2005-07-06,6782
Square_2010-05-12_13974,3,Square,2010-05-12,13974
Forest_2006-06-25_7826,3,Forest,2006-06-25,7826
Camp_2004-03-23_5669,3,Camp,2004-03-23,5669
Guantánamo_2018-08-30_18898,3,Guantánamo,2018-08-30,18898
David_2004-03-23_5669,3,David,2004-03-23,5669
Times_2010-05-04_13953,3,Times,2010-05-04,13953
University_2010-05-15_13989,3,University,2010-05-15,13989
Gurdwara_2001-05-26_691,3,Gurdwara,2001-05-26,691
Ramin_2011-01-14_14657,3,Ramin,2011-01-14,14657
Temple_2001-05-26_691,3,Temple,2001-05-26,691
Tahir_2011-01-14_14657,3,Tahir,2011-01-14,14657
Kissena_2012-04-27_15528,3,Kissena,2012-04-27,15528
Park_2012-04-27_15528,3,Park,2012-04-27,15528
Bagram_2012-05-01_15536,3,Bagram,2012-05-01,15536
Air_2012-05-01_15536,3,Air,2012-05-01,15536
Port_2020-08-07_19980,3,Port,2020-08-07,19980
Soto_2018-08-08_18853,3,Soto,2018-08-08,18853
Base_2012-05-01_15536,3,Base,2012-05-01,15536
Victory_2018-08-08_18853,3,Victory,2018-08-08,18853
Forest_2006-06-25_7825,3,Forest,2006-06-25,7825
Gate_2006-06-25_7825,3,Gate,2006-06-25,7825
Moresby_2020-08-07_19980,3,Moresby,2020-08-07,19980
Fort_2010-12-30_14637,3,Fort,2010-12-30,14637
Gate_2006-06-25_7826,3,Gate,2006-06-25,7826
Times_2010-05-12_13974,3,Times,2010-05-12,13974
Camp_2001-10-07_1195,3,Camp,2001-10-07,1195
Bridge_2021-08-16_20553,3,Bridge,2021-08-16,20553
Road_2010-12-09_14584,3,Road,2010-12-09,14584
Alhazmi_2002-10-17_4528,3,Alhazmi,2002-10-17,4528
Rhino_2001-12-16_2799,3,Rhino,2001-12-16,2799
Pul_2020-09-03_20000,3,Pul,2020-09-03,20000
Camp_2001-12-16_2799,3,Camp,2001-12-16,2799
Base_2018-07-09_18808,3,Base,2018-07-09,18808
Historic_2010-12-09_14584,3,Historic,2010-12-09,14584
★_2015-12-10_17628,3,★,2015-12-10,17628
Vatican_2006-07-13_7945,3,Vatican,2006-07-13,7945
Mao_2012-07-22_15665,3,Mao,2012-07-22,15665
Bay_2002-10-29_4549,3,Bay,2002-10-29,4549
Air_2018-07-09_18808,3,Air,2018-07-09,18808
Bagram_2018-07-09_18808,3,Bagram,2018-07-09,18808
Intellectual_2018-05-08_18742,3,Intellectual,2018-05-08,18742
Dark_2018-05-08_18742,3,Dark,2018-05-08,18742
Dargis_2014-02-27_16552,3,Dargis,2014-02-27,16552
Guantánamo_2021-03-27_20199,3,Guantánamo,2021-03-27,20199
Palace_1995-02-20_2,3,Palace,1995-02-20,2
Guantánamo_2015-11-27_17604,3,Guantánamo,2015-11-27,17604
Plain_2001-10-07_1188,3,Plain,2001-10-07,1188
Bridgeport_2010-05-15_13989,3,Bridgeport,2010-05-15,13989
Stadium_2001-11-07_1926,3,Stadium,2001-11-07,1926
Shamali_2001-10-07_1188,3,Shamali,2001-10-07,1188
Avenue_2018-08-08_18853,3,Avenue,2018-08-08,18853
Avenue_2015-11-19_17587,3,Avenue,2015-11-19,17587
District_2019-05-30_19343,3,District,2019-05-30,19343
Morris_2018-08-08_18853,3,Morris,2018-08-08,18853
village_2021-03-04_20173,3,village,2021-03-04,20173
Guantánamo_2009-06-02_12798,3,Guantánamo,2009-06-02,12798
Guantánamo_2002-01-20_3238,3,Guantánamo,2002-01-20,3238
Air_2021-04-18_20252,3,Air,2021-04-18,20252
Outpost_2018-08-08_18853,3,Outpost,2018-08-08,18853
Square_2006-09-10_8266,3,Square,2006-09-10,8266
Square_2006-09-10_8265,3,Square,2006-09-10,8265
Friendship_2021-08-16_20553,3,Friendship,2021-08-16,20553
Korengal_2018-08-08_18853,3,Korengal,2018-08-08,18853
Guantánamo_2021-03-27_20200,3,Guantánamo,2021-03-27,20200
Camp_2020-08-30_19995,3,Camp,2020-08-30,19995
Silk_2021-01-16_20131,3,Silk,2021-01-16,20131
Road_2016-03-10_17783,3,Road,2016-03-10,17783
Fort_2004-04-13_5742,3,Fort,2004-04-13,5742
Sark_2008-12-10_12128,3,Sark,2008-12-10,12128
Airport_2004-03-24_5683,3,Airport,2004-03-24,5683
Park_2010-06-18_14091,3,Park,2010-06-18,14091
Guantánamo_2017-02-14_18163,3,Guantánamo,2017-02-14,18163
Space_2021-01-25_20134,3,Space,2021-01-25,20134
Bay_2006-02-17_7335,3,Bay,2006-02-17,7335
Union_2001-10-08_1248,3,Union,2001-10-08,1248
Broadway_2007-12-16_10324,3,Broadway,2007-12-16,10324
Guantánamo_2016-08-15_17980,3,Guantánamo,2016-08-15,17980
