word,count,GPE,date,article_index
Pakistan_2003-11-11_2406,21,Pakistan,2003-11-11,2406
Pakistan_2009-05-03_4429,21,Pakistan,2009-05-03,4429
Germany_2015-09-19_7746,21,Germany,2015-09-19,7746
Afghanistan_2021-09-30_9549,20,Afghanistan,2021-09-30,9549
UK_2001-03-10_274,20,UK,2001-03-10,274
Afghanistan_2013-07-01_6830,20,Afghanistan,2013-07-01,6830
Iraq_2007-01-24_3203,20,Iraq,2007-01-24,3203
Karzai_2009-03-23_4347,20,Karzai,2009-03-23,4347
Pakistan_2010-12-01_5555,20,Pakistan,2010-12-01,5555
Germany_2001-05-23_327,20,Germany,2001-05-23,327
Pakistan_2010-11-30_5528,20,Pakistan,2010-11-30,5528
India_2010-12-02_5585,20,India,2010-12-02,5585
India_2009-12-25_4925,20,India,2009-12-25,4925
Pakistan_2007-10-13_3528,20,Pakistan,2007-10-13,3528
Iran_2007-08-30_3478,20,Iran,2007-08-30,3478
Pakistan_2010-03-22_5038,20,Pakistan,2010-03-22,5038
Afghanistan_2011-07-10_5962,20,Afghanistan,2011-07-10,5962
China_2021-09-08_9418,20,China,2021-09-08,9418
Pakistan_2010-08-01_5286,20,Pakistan,2010-08-01,5286
Pakistan_2011-11-27_6115,20,Pakistan,2011-11-27,6115
Pakistan_2010-07-28_5268,20,Pakistan,2010-07-28,5268
Pakistan_2010-08-02_5291,20,Pakistan,2010-08-02,5291
Afghanistan_2001-09-29_717,20,Afghanistan,2001-09-29,717
Britain_2004-03-21_2510,20,Britain,2004-03-21,2510
China_2021-08-17_8997,20,China,2021-08-17,8997
New_2021-08-19_9063,20,New,2021-08-19,9063
Zealand_2021-08-19_9063,20,Zealand,2021-08-19,9063
Pakistan_2014-12-10_7481,20,Pakistan,2014-12-10,7481
Israel_2006-08-06_3005,20,Israel,2006-08-06,3005
Pakistan_2009-05-06_4440,20,Pakistan,2009-05-06,4440
India_2008-12-03_4198,20,India,2008-12-03,4198
Madrid_2004-03-21_2510,19,Madrid,2004-03-21,2510
Afghanistan_2001-10-28_1109,19,Afghanistan,2001-10-28,1109
Afghanistan_2017-04-03_8169,19,Afghanistan,2017-04-03,8169
Pakistan_2016-09-28_8025,19,Pakistan,2016-09-28,8025
Afghanistan_2015-04-22_7620,19,Afghanistan,2015-04-22,7620
DfID_2015-03-26_7606,19,DfID,2015-03-26,7606
Kabul_2001-10-13_934,19,Kabul,2001-10-13,934
America_2004-01-21_2460,19,America,2004-01-21,2460
Kabul_2001-10-10_887,19,Kabul,2001-10-10,887
Afghanistan_2009-07-24_4574,19,Afghanistan,2009-07-24,4574
Iraq_2001-12-03_1503,19,Iraq,2001-12-03,1503
Turkey_2004-06-29_2574,19,Turkey,2004-06-29,2574
Pakistan_2009-06-18_4501,19,Pakistan,2009-06-18,4501
Pakistan_2010-04-26_5062,19,Pakistan,2010-04-26,5062
Iran_2013-01-04_6593,19,Iran,2013-01-04,6593
United_2013-05-23_6760,19,United,2013-05-23,6760
China_2014-03-18_7115,19,China,2014-03-18,7115
Afghanistan_2015-09-10_7737,19,Afghanistan,2015-09-10,7737
Costa_2010-12-20_5652,19,Costa,2010-12-20,5652
Nazari_2019-06-19_8483,19,Nazari,2019-06-19,8483
America_2017-08-19_8224,19,America,2017-08-19,8224
Iran_2010-12-07_5609,19,Iran,2010-12-07,5609
Pakistan_2002-01-06_1651,19,Pakistan,2002-01-06,1651
Kabul_2001-09-28_698,19,Kabul,2001-09-28,698
India_2010-12-16_5637,18,India,2010-12-16,5637
States_2013-05-23_6760,18,States,2013-05-23,6760
Iran_2007-02-27_3237,18,Iran,2007-02-27,3237
Pakistan_2010-12-16_5639,18,Pakistan,2010-12-16,5639
Gaza_2010-07-27_5259,18,Gaza,2010-07-27,5259
Afghanistan_2002-05-20_1925,18,Afghanistan,2002-05-20,1925
Iran_2006-04-11_2889,18,Iran,2006-04-11,2889
Karzai_2010-12-02_5587,18,Karzai,2010-12-02,5587
Pakistan_2005-08-07_2778,18,Pakistan,2005-08-07,2778
