word,count,FAC,date,article_index
Pennsylvania_2011-05-02_5839,1,Pennsylvania,2011-05-02,5839
Square_2011-05-02_5839,1,Square,2011-05-02,5839
Times_2011-05-02_5839,1,Times,2011-05-02,5839
Building_2011-05-02_5837,1,Building,2011-05-02,5837
Afghanistan_2011-05-02_5837,1,Afghanistan,2011-05-02,5837
hour_2011-05-02_5830,1,hour,2011-05-02,5830
Buckingham_2011-05-22_5890,1,Buckingham,2011-05-22,5890
Cables_2011-05-25_5893,1,Cables,2011-05-25,5893
Heathrow_2011-04-26_5825,1,Heathrow,2011-04-26,5825
Harbour_2011-06-08_5907,1,Harbour,2011-06-08,5907
Times_2011-06-23_5933,1,Times,2011-06-23,5933
Harbor_2011-06-23_5932,1,Harbor,2011-06-23,5932
Pearl_2011-06-23_5932,1,Pearl,2011-06-23,5932
America_2011-06-21_5925,1,America,2011-06-21,5925
Ascot_2011-06-18_5922,1,Ascot,2011-06-18,5922
Pollard_2011-06-18_5922,1,Pollard,2011-06-18,5922
Vicky_2011-06-18_5922,1,Vicky,2011-06-18,5922
Edmunds_2011-06-08_5908,1,Edmunds,2011-06-08,5908
St_2011-06-08_5908,1,St,2011-06-08,5908
Bury_2011-06-08_5908,1,Bury,2011-06-08,5908
Pearl_2011-06-08_5907,1,Pearl,2011-06-08,5907
Kabul_2011-05-25_5893,1,Kabul,2011-05-25,5893
Fleet_2011-06-08_5907,1,Fleet,2011-06-08,5907
Pacific_2011-06-08_5907,1,Pacific,2011-06-08,5907
Coles_2011-05-25_5893,1,Coles,2011-05-25,5893
Cowper_2011-05-25_5893,1,Cowper,2011-05-25,5893
Sherard_2011-05-25_5893,1,Sherard,2011-05-25,5893
Campaign_2011-05-25_5893,1,Campaign,2011-05-25,5893
Afghanistan_2011-05-25_5893,1,Afghanistan,2011-05-25,5893
West_2011-05-25_5893,1,West,2011-05-25,5893
Story_2011-05-25_5893,1,Story,2011-05-25,5893
Inside_2011-05-25_5893,1,Inside,2011-05-25,5893
Abbottabad_2011-05-02_5830,1,Abbottabad,2011-05-02,5830
Bay_2011-04-26_5823,1,Bay,2011-04-26,5823
Ahmed_2011-06-23_5933,1,Ahmed,2011-06-23,5933
Angeles_2011-04-19_5799,1,Angeles,2011-04-19,5799
House_2011-04-25_5803,1,House,2011-04-25,5803
